Issue key,Primary Issue,Secondary Issue,Repeat,Suggested Response,Actual Response,Assigned to Respond:,Issue id,Mode,Airport,State,Zip,City,Received / Created,Zip Code,Latitude,Longitude,AutoCity,County,CA Region,Status,Response Time (Days),Response Time,Repeat Formula,Closed,Open,Waiting for customer,Open ATO WSC,Open Other,Response Method,NP Week,Date Range
AWP-2020000060,Recent change or increase in air traffic,Commercial,Yes,,,,22079,Phone,Unknown,HI,96708,Haiku,1/9/2020,96708,20.85,-156.22,Haiku,Maui County,#N/A,Addressed,235,More than 30 days,Repeat Complainant,1,0,0,0,,Email,1 2020,1/4/2020 - 1/17/2020
AWP-2020000131,Low flying / safety,Commercial,No,,,,22233,Email,HNM,HI,96713,Hana,1/24/2020,96713,20.74,-156.05,Hana,Maui County,#N/A,ATO WSC In Progress,#NAME?,#NAME?,New Complainant,0,1,0,1,,Email,3 2020,1/18/2020 - 1/31/2020
AWP-2020000167,Recent change or increase in air traffic,Commercial,No,,,,22328,Email,OGG,HI,96708,Haiku,1/24/2020,96708,20.85,-156.22,Haiku,Maui County,#N/A,Addressed,221,More than 30 days,New Complainant,1,0,0,0,,Email,3 2020,1/18/2020 - 1/31/2020
AWP-2020000198,Recent change or increase in air traffic,Commercial,Yes,,,,22382,Email,OGG,HI,96708,Gilbert,2/10/2020,96708,20.85,-156.22,Haiku,Maui County,#N/A,Addressed,204,More than 30 days,Repeat Complainant,1,0,0,0,,Email,6 2020,2/1/2020 - 2/14/2020
AWP-2020000212,Recent change or increase in air traffic,Commercial,No,,,,22483,Email,OGG,HI,96708,Santa Maria,2/1/2020,96708,20.85,-156.22,Haiku,Maui County,#N/A,Addressed,233,More than 30 days,New Complainant,1,0,0,0,,Email,5 2020,2/1/2020 - 2/14/2020
AWP-2020000277,Low flying / safety,,No,,,,22791,Phone,Unknown,HI,96708,Rocklin,2/24/2020,96708,20.85,-156.22,Haiku,Maui County,#N/A,Addressed,210,More than 30 days,New Complainant,1,0,0,0,,Email,8 2020,2/15/2020 - 2/28/2020
AWP-2020000318,Low flying / safety,,No,,,,22952,Email,PHOG,HI,96708,Newark,3/12/2020,96708,20.85,-156.22,Haiku,Maui County,#N/A,Addressed,172,More than 30 days,New Complainant,1,0,0,0,,Email,10 2020,2/29/2020 - 3/13/2020
AWP-2020000445,Recent change or increase in air traffic,,No,,,,23522,Email,OGG,HI,96708,Congress,4/8/2020,96708,20.85,-156.22,Haiku,Maui County,#N/A,Addressed,146,More than 30 days,New Complainant,1,0,0,0,,Email,14 2020,3/28/2020 - 4/10/2020
AWP-2020000651,Recent change or increase in air traffic,Commerical,Yes,,,,24656,Email,OGG,HI,96708,Haiku,5/31/2020,96708,20.85,-156.22,Haiku,Maui County,#N/A,Addressed,93,More than 30 days,Repeat Complainant,1,0,0,0,,Email,22 2020,5/23/2020 - 6/5/2020
AWP-2020000865,Recent change or increase in air traffic,,No,,,,25513,Email,OGG,HI,96708,Haiku,7/22/2020,96708,20.85,-156.22,Haiku,Maui County,#N/A,Addressed,43,More than 30 days,New Complainant,1,0,0,0,,Email,29 2020,7/18/2020 - 7/31/2020
AWP-2020000916,Recent change or increase in air traffic,,Yes,,,,25705,Email,OGG,HI,96708,Haiku,8/6/2020,96708,20.85,-156.22,Haiku,Maui County,#N/A,Addressed,23,15 - 30 days,Repeat Complainant,1,0,0,0,,Email,31 2020,8/1/2020 - 8/14/2020
AWP-2020000921,Recent change or increase in air traffic,,No,,,,25732,Email,OGG,HI,96708,Maui,8/6/2020,96708,20.85,-156.22,Haiku,Maui County,#N/A,Addressed,26,15 - 30 days,New Complainant,1,0,0,0,,Email,31 2020,8/1/2020 - 8/14/2020
AWP-201800001,NextGen/PBN,,,,,,13947,Email,SNA,CA,92603,Newport Beach,8/2/2018,92603,33.63,-117.79,Irvine,Orange County,SoCal,Addressed,442,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800002,Aircraft Noise,,,,,,13948,Email,OAK,CA,94564,Pinole,8/2/2018,94564,37.99,-122.28,Pinole,Contra Costa County,NorCal,Addressed,263,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800003,Low flying / safety,,,,,,14300,Email,MHR,CA,95630,Folsom,8/21/2018,95630,38.67,-121.14,Folsom,Sacramento County,NorCal,Addressed,64,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800004,Aircraft Noise,,,,,,14320,Email,ONT,CA,92352,Lake Arrowhead,8/26/2018,92352,34.26,-117.20,Lake Arrowhead,San Bernadino County,SoCal,Addressed,85,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800005,Low flying / safety,,,,,,14321,Email,FUL,CA,92887,Yorba Linda,8/26/2018,92887,33.88,-117.73,Yorba Linda,Orange County,SoCal,Addressed,59,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800006,Low flying / safety,,,,,,14322,Email,SNA,CA,92629,Dana Point,8/26/2018,92629,33.48,-117.71,Dana Point,Orange County,SoCal,Addressed,418,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800007,Low flying / safety,,,,,,14323,Email,SNA,CA,92887,Yorba Linda,8/26/2018,92887,33.88,-117.73,Yorba Linda,Orange County,SoCal,Addressed,82,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800008,Aircraft Noise,,,,,,14324,Email,WQG,CA,92392,Victorville,8/26/2018,92392,34.48,-117.41,Victorville,San Bernadino County,SoCal,Addressed,464,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800009,Low flying / safety,,,,,,14325,Email,SAN,CA,91941,La Mesa,8/26/2018,91941,32.76,-117.00,La Mesa,San Diego County,SoCal,Addressed,264,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800010,Helicopter,,,,,,14326,Email,SJC,CA,95051,Santa Clara,8/26/2018,95051,37.35,-121.98,Santa Clara,Santa Clara County,NorCal,Addressed,59,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800011,Early morning/late night flights,,,,,,14327,Email,ONT,CA,92352,Lake Arrowhead,8/26/2018,92352,34.26,-117.20,Lake Arrowhead,San Bernadino County,SoCal,Addressed,418,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800012,Aircraft Noise,,,,,,14328,Email,B,CA,90220,Compton,8/26/2018,90220,33.88,-118.23,Compton,Los Angeles County,SoCal,Addressed,184,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800013,Early morning/late night flights,,,,,,14329,Email,LAX,CA,90808,Long Beach,8/26/2018,90808,33.82,-118.11,Long Beach,Los Angeles County,SoCal,Addressed,82,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800014,Flight school training,,,,,,14330,Email,LGB,CA,90712,Long Beach,8/26/2018,90712,33.85,-118.15,Lakewood,Los Angeles County,SoCal,Addressed,417,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800015,Early morning/late night flights,Contraops response,,,,,14331,Email,ONT,CA,91710,Chino,8/26/2018,91710,34.00,-117.68,Chino,San Bernadino County,SoCal,Addressed,82,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800016,NextGen/PBN,,,,,,14402,Email,PHX,AZ,85044,Phoenix,9/3/2018,85044,33.35,-112.02,Phoenix,Maricopa County,#N/A,Addressed,74,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800017,Aircraft Noise,,,,,,14403,Email,BUR,CA,91606,North Hollywood,9/3/2018,91606,34.19,-118.39,North Hollywood,Los Angeles County,SoCal,Addressed,74,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800018,Flight school training,,,,,,14404,Email,DVT,AZ,85086,Anthem,9/3/2018,85086,33.82,-112.12,Phoenix,Maricopa County,#N/A,Addressed,256,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800019,Aircraft Noise,,,,,,14405,Email,PAO,CA,94536,Fremont,9/3/2018,94536,37.57,-121.98,Fremont,Alameda County,NorCal,Addressed,73,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
AWP-201800020,Low flying / safety,,,,,,14406,Email,CCR,CA,94510,Benicia,9/3/2018,94510,38.10,-122.14,Benicia,Solano County,NorCal,Addressed,155,More than 30 days,New Complainant,1,0,0,0,,Email,0,8/1/2018 - 1/4/2019
